word,root,rule,base
adonaka,donaka,a~,donaka
alamba,lamba,a~,lamba
atakovana,takovana,a~,takovana
adongaingy,dongaingy,a~,dongaingy
alambana,lambana,a~,lambana
atalagaga,gaga,a~,talagaga
adoraraka,doraraka,a~,doraraka
alamina,lamina,a~,lamina
atalaho,talaho,a~,talaho
adoroboka,doroboka,a~,doroboka
alamindamina,lamina,a~,lamindamina
atalantalana,talantalana,a~,talantalana
adradradradra,dradradradra,a~,dradradradra
alamoka,lamoka,a~,lamoka
atalapetraka,petraka,a~,talapetraka
adraiko,draiko,a~,draiko
alampatra,lampatra,a~,lampatra
atalily,talily,a~,talily
adrakadraka,drakadraka,a~,drakadraka
alandana,landana,a~,landana
atamana,tamana,a~,tamana
aebotse,ebotse,a~,ebotse
alangalanga,langalanga,a~,langalanga
atambatra,tambatra,a~,tambatra
aefitra,efitra,a~,efitra
alanona,lanona,a~,lanona
atamberina,tamberina,a~,tamberina
aelakelaka,elakelaka,a~,elakelaka
alanto,lanto,a~,lanto
atamberivery,tamberivery,a~,tamberivery
aelanelana,elana,a~,elanelana
alantolanto,lanto,a~,lantolanto
atambesatra,vesatra,a~,tambesatra
aelatra,elatra,a~,elatra
alantsika,lantsika,a~,lantsika
atambezo,tambezo,a~,tambezo
aele,ele,a~,ele
alaoka,laoka,a~,laoka
atamby,tamby,a~,tamby
aely,ely,a~,ely
alaro,laro,a~,laro
atambina,tambina,a~,tambina
aelo,elo,a~,elo
alasitra,lasitra,a~,lasitra
atambitamby,tambitamby,a~,tambitamby
aemboka,emboka,a~,emboka
alatsa,latsa,a~,latsa
atamboke,tamboke,a~,tamboke
aemboke,emboke,a~,emboke
alatsaka,latsaka,a~,latsaka
atambolina,volina,a~,tambolina
aemonemona,emonemona,a~,emonemona
alatsake,latsake,a~,latsake
atambongana,tambongana,a~,tambongana
aemotse,emotse,a~,emotse
alatsy,latsy,a~,latsy
atamborokiky,tamborokiky,a~,tamborokiky
aempaempa,empaempa,a~,empaempa
alavalava,lava,a~,lavalava
atambororotra,tambororotra,a~,tambororotra
aempempa,empempa,a~,empempa
alavo,lavo,a~,lavo
atambotsotra,tambotsotra,a~,tambotsotra
aempo,empo,a~,empo
alavorary,lavorary,a~,lavorary
atampake,tampake,a~,tampake
aena,ena,a~,ena
alaza,laza,a~,laza
atampe,tampe,a~,tampe
aende,ende,a~,ende
alazo,lazo,a~,lazo
atampesona,tampesona,a~,tampesona
aendrikendrika,endrikendrika,a~,endrikendrika
alealea,lealea,a~,lealea
atampy,tampy,a~,tampy
aendrinendrina,endrinendrina,a~,endrinendrina
alefa,lefa,a~,lefa
atampify,tampify,a~,tampify
aene,ene,a~,ene
alefaka,lefaka,a~,lefaka
atampike,tampike,a~,tampike
aenga,enga,a~,enga
alefalefa,lefalefa,a~,lefalefa
atampina,tampina,a~,tampina
aepaky,epaky,a~,epaky
alefy,lefy,a~,lefy
atampisaka,tampisaka,a~,tampisaka
aepoke,epoke,a~,epoke
alefitra,lefitra,a~,lefitra
atampody,tampody,a~,tampody
aerinerina,erinerina,a~,erinerina
alefolefo,lefolefo,a~,lefolefo
atampoka,tampoka,a~,tampoka
aeritreritra,eritreritra,a~,eritreritra
alefona,lefona,a~,lefona
atampoke,tampoke,a~,tampoke
aesotra,esotra,a~,esotra
aleha,leha,a~,leha
atampona,tampona,a~,tampona
aetake,etake,a~,etake
alelaka,lela,a~,lelaka
atana,tana,a~,tana
aetry,etry,a~,etry
alelake,lelake,a~,lelake
atanaka,tanaka,a~,tanaka
aetrietry,etry,a~,etrietry
alelalela,lela,a~,lelalela
atanatana,tanatana,a~,tanatana
aetsaka,etsaka,a~,etsaka
alelika,lelika,a~,lelika
atandahatra,lahatra,a~,tandahatra
aetsaketsaka,etsaketsaka,a~,etsaketsaka
alemaka,lemaka,a~,lemaka
atandatsaka,latsaka,a~,tandatsaka
aevanevana,evanevana,a~,evanevana
aleme,leme,a~,leme
atandra,tandra,a~,tandra
aevoka,evoka,a~,evoka
aleno,leno,a~,leno
atandry,tandry,a~,tandry
aevotra,evotra,a~,evotra
alenta,lenta,a~,lenta
atandrify,tandrify,a~,tandrify
aezaka,ezaka,a~,ezaka
alentika,lentika,a~,lentika
atandrina,tandrina,a~,tandrina
